X,Y,
,,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,1,
7,2,
7,2,
6,2,
5,2,
4,3,
4,2,
4,2,
4,2,
3,1,
3,0,
3,0,
2,1,
2,1,
1,1,
0,0,
0,0,
1,0,
1,0,
0,0,
0,0,
0,0,
1,1,
2,0,
3,0,
2,0,
2,0,
3,0,
3,0,
3,1,
3,1,
3,1,
2,2,
1,1,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
0,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,0,
1,1,
1,2,
2,3,
2,2,
1,2,
1,2,
2,3,
2,2,
2,3,
2,3,
2,3,
2,3,
1,2,
0,2,
0,3,
0,3,
0,3,
0,4,
0,4,
0,4,
0,3,
0,3,
0,2,
0,2,
0,2,
1,1,
2,0,
3,1,
3,1,
4,2,
4,2,
4,2,
3,3,
4,4,
3,5,
4,6,
3,5,
2,5,
2,6,
3,7,
2,7,
3,7,
3,7,
3,7,
2,8,
2,8,
3,9,
4,8,
4,8,
3,9,
4,8,
3,9,
3,9,
3,9,
3,9,
2,8,
2,7,
2,8,
2,8,
2,9,
3,9,
2,8,
3,9,
4,8,
3,9,
4,8,
3,9,
4,10,
4,9,
4,9,
5,8,
5,7,
5,8,
6,7,
5,8,
5,8,
6,9,
6,10,
6,10,
7,11,
7,11,
7,11,
7,10,
7,10,
7,11,
6,11,
7,11,
6,11,
7,10,
7,10,
6,11,
6,11,
6,11,
6,11,
6,10,
5,11,
5,11,
6,10,
6,11,
7,10,
6,10,
6,10,
7,11,
7,10,
7,10,
6,11,
6,11,
7,11,
7,11,
7,11,
6,11,
6,11,
6,10,
6,10,
6,11,
6,11,
6,11,
6,11,
5,11,
5,11,
6,11,
6,11,
6,11,
7,10,
7,10,
7,10,
7,10,
7,10,
7,11,
7,10,
7,11,
7,10,
7,10,
7,10,
7,10,
6,11,
6,11,
3,11,
,,
7,1,
6,2,
6,3,
6,4,
7,5,
7,6,
7,7,
7,8,
6,9,
6,9,
6,10,
6,11,
6,11,
3,11,
,,
7,1,
7,2,
7,2,
7,2,
7,2,
7,2,
7,1,
7,1,
7,1,
7,1,
6,2,
6,3,
6,4,
7,5,
7,6,
7,7,
7,8,
6,9,
6,9,
6,10,
6,11,
3,11,
,,
7,1,
7,1,
7,1,
7,2,
7,2,
7,2,
7,2,
7,1,
7,1,
7,1,
7,1,
6,2,
6,3,
6,4,
7,5,
7,6,
7,7,
7,8,
6,9,
6,9,
6,10,
6,11,
6,11,
3,11,
,,
7,1,
7,2,
7,2,
7,2,
7,2,
7,2,
7,1,
7,1,
7,1,
7,1,
7,2,
7,2,
7,2,
7,2,
7,2,
6,2,
6,2,
5,2,
4,2,
4,2,
3,3,
2,4,
1,5,
1,6,
1,7,
2,8,
2,9,
2,10,
2,11,
3,11,
